item_id;onderdeel;n;p_waarde
Ank23d_SN_1F_09;TAAL;2000;0,728
Ank23d_SW_1F_06;TAAL;2000;0,812
Ank23d_SW_2F_05;TAAL;2000;0,6235
Ank23d_SW_2F_07;TAAL;2000;0,806
Ank23d_SW_2F_08;TAAL;2000;0,8185
Ank23dp_SN_1F_10;TAAL;2000;0,7355
Ank23dp_SN_1F_12;TAAL;2000;0,44
Ank23dp_SN_2F_11;TAAL;2000;0,494
Ank23p_IP_1F_02;TAAL;2000;0,9735
Ank23p_SN_2F_8;TAAL;2000;0,8765
Ank23p_SN_2F_9;TAAL;2000;0,658
Ank23p_SW_1F_05;TAAL;2000;0,656
Ank23p_SW_1F_06;TAAL;2000;0,8175
Ank23p_SW_2F_07;TAAL;2000;0,5935
Ank23pd_IP_1F_01;TAAL;2000;0,737
Ank23pd_IP_1F_03;TAAL;2000;0,729
Ank23pd_IP_2F_04;TAAL;2000;0,4715
Ank24dp_SN_2F_01;TAAL;2000;0,55
Ank24dp_SN_2F_02;TAAL;2000;0,6355
DUMMY1_TAAL_1;TAAL;2000;0,427
DUMMY1_TAAL_10;TAAL;2000;0,806
DUMMY1_TAAL_11;TAAL;2000;0,8035
DUMMY1_TAAL_12;TAAL;2000;0,1575
DUMMY1_TAAL_13;TAAL;2000;0,071
DUMMY1_TAAL_14;TAAL;2000;0,366
DUMMY1_TAAL_15;TAAL;2000;0,269
DUMMY1_TAAL_16;TAAL;2000;0,392
DUMMY1_TAAL_17;TAAL;2000;0,0135
DUMMY1_TAAL_18;TAAL;2000;0
DUMMY1_TAAL_19;TAAL;2000;0,5555
DUMMY1_TAAL_2;TAAL;2000;0,3275
DUMMY1_TAAL_20;TAAL;2000;0,2705
DUMMY1_TAAL_21;TAAL;2000;0,1275
DUMMY1_TAAL_22;TAAL;2000;0,6945
DUMMY1_TAAL_23;TAAL;2000;0,2935
DUMMY1_TAAL_24;TAAL;2000;0,388
DUMMY1_TAAL_25;TAAL;2000;0,7615
DUMMY1_TAAL_26;TAAL;2000;0,0555
DUMMY1_TAAL_27;TAAL;2000;0,082
DUMMY1_TAAL_28;TAAL;2000;0,0205
DUMMY1_TAAL_29;TAAL;2000;0,5255
DUMMY1_TAAL_3;TAAL;2000;0,0875
DUMMY1_TAAL_30;TAAL;2000;0,5075
DUMMY1_TAAL_4;TAAL;2000;0,6255
DUMMY1_TAAL_5;TAAL;2000;0,846
DUMMY1_TAAL_6;TAAL;2000;0,6475
DUMMY1_TAAL_7;TAAL;2000;0,42
DUMMY1_TAAL_8;TAAL;2000;0,6155
DUMMY1_TAAL_9;TAAL;2000;5e-04
Ank23d_C_GT_1F_02;REKENEN;2000;0,6695
Ank23d_C_GT_1F_03;REKENEN;2000;0,711
Ank23d_C_VB_1F_12;REKENEN;2000;0,7365
Ank23d_K_GT_1S_04;REKENEN;2000;0,6405
Ank23d_K_VH_1S_06;REKENEN;2000;0,745
Ank23dp_C_MM_1F_09;REKENEN;2000;0,5485
Ank23dp_C_MM_1S_10;REKENEN;2000;0,448
Ank23dp_C_VB_1S_11;REKENEN;2000;0,835
Ank23p_C_GT_1F_14;REKENEN;2000;0,4315
Ank23p_C_GT_1S_15;REKENEN;2000;0,72
Ank23p_C_VB_1F_18;REKENEN;2000;0,8525
Ank23p_C_VH_1S_17;REKENEN;2000;0,5375
Ank23p_K_GT_1F_13;REKENEN;2000;0,9025
Ank23p_K_VH_1F_16;REKENEN;2000;0,7245
Ank23pd_C_VH_1F_07;REKENEN;2000;0,9005
Ank23pd_K_GT_1S_01;REKENEN;2000;0,7915
Ank23pd_K_VH_1S_05;REKENEN;2000;0,681
Ank24dp_K_GT_1S_01;REKENEN;2000;0,562
Ank24dp_K_VB_1S_02;REKENEN;2000;0,6795
DUMMY1_REKENEN_1;REKENEN;2000;0,544
DUMMY1_REKENEN_10;REKENEN;2000;0,7895
DUMMY1_REKENEN_11;REKENEN;2000;0,2065
DUMMY1_REKENEN_12;REKENEN;2000;0,009
DUMMY1_REKENEN_13;REKENEN;2000;0,674
DUMMY1_REKENEN_14;REKENEN;2000;0,7285
DUMMY1_REKENEN_15;REKENEN;2000;0,4045
DUMMY1_REKENEN_16;REKENEN;2000;0,8115
DUMMY1_REKENEN_17;REKENEN;2000;0,086
DUMMY1_REKENEN_18;REKENEN;2000;0,518
DUMMY1_REKENEN_19;REKENEN;2000;0,0295
DUMMY1_REKENEN_2;REKENEN;2000;0,1815
DUMMY1_REKENEN_20;REKENEN;2000;0,285
DUMMY1_REKENEN_21;REKENEN;2000;0,1935
DUMMY1_REKENEN_22;REKENEN;2000;0,514
DUMMY1_REKENEN_23;REKENEN;2000;0,33
DUMMY1_REKENEN_24;REKENEN;2000;0,6535
DUMMY1_REKENEN_25;REKENEN;2000;0,693
DUMMY1_REKENEN_26;REKENEN;2000;0,176
DUMMY1_REKENEN_27;REKENEN;2000;0,3525
DUMMY1_REKENEN_28;REKENEN;2000;0,208
DUMMY1_REKENEN_29;REKENEN;2000;0,5515
DUMMY1_REKENEN_3;REKENEN;2000;0,8825
DUMMY1_REKENEN_30;REKENEN;2000;0,36
DUMMY1_REKENEN_31;REKENEN;2000;0,48
DUMMY1_REKENEN_4;REKENEN;2000;0,471
DUMMY1_REKENEN_5;REKENEN;2000;0,1145
DUMMY1_REKENEN_6;REKENEN;2000;0,695
DUMMY1_REKENEN_7;REKENEN;2000;0,3465
DUMMY1_REKENEN_8;REKENEN;2000;0,042
DUMMY1_REKENEN_9;REKENEN;2000;0,956
