item_id;onderdeel;n;p_waarde
Ank23dp_SN_1F_12;TAAL;3000;0,4377
Ank23dp_SN_2F_11;TAAL;3000;0,5427
Ank23p_IP_1F_02;TAAL;3000;0,9803
Ank23p_SN_2F_8;TAAL;3000;0,897
Ank23p_SN_2F_9;TAAL;3000;0,7097
Ank23p_SW_1F_05;TAAL;3000;0,6857
Ank23p_SW_1F_06;TAAL;3000;0,86
Ank23p_SW_2F_07;TAAL;3000;0,6273
Ank23pd_IP_1F_01;TAAL;3000;0,797
Ank23pd_IP_1F_03;TAAL;3000;0,7573
Ank23pd_IP_2F_04;TAAL;3000;0,5147
Ank24dp_SN_2F_01;TAAL;3000;0,594
Ank24dp_SN_2F_02;TAAL;3000;0,6687
DUMMYPCET_TAAL_1;TAAL;3000;0,733
DUMMYPCET_TAAL_10;TAAL;3000;0,841
DUMMYPCET_TAAL_11;TAAL;3000;0,5177
DUMMYPCET_TAAL_12;TAAL;3000;0,2
DUMMYPCET_TAAL_13;TAAL;3000;0,1967
DUMMYPCET_TAAL_14;TAAL;3000;0,1057
DUMMYPCET_TAAL_15;TAAL;3000;0,39
DUMMYPCET_TAAL_16;TAAL;3000;0,6343
DUMMYPCET_TAAL_17;TAAL;3000;0,623
DUMMYPCET_TAAL_18;TAAL;3000;0,251
DUMMYPCET_TAAL_19;TAAL;3000;0,4743
DUMMYPCET_TAAL_2;TAAL;3000;0,6763
DUMMYPCET_TAAL_20;TAAL;3000;0,1097
DUMMYPCET_TAAL_21;TAAL;3000;0,9507
DUMMYPCET_TAAL_22;TAAL;3000;0,8617
DUMMYPCET_TAAL_23;TAAL;3000;0,393
DUMMYPCET_TAAL_24;TAAL;3000;0,5287
DUMMYPCET_TAAL_25;TAAL;3000;0,6647
DUMMYPCET_TAAL_26;TAAL;3000;0,23
DUMMYPCET_TAAL_27;TAAL;3000;0,569
DUMMYPCET_TAAL_28;TAAL;3000;0,4497
DUMMYPCET_TAAL_29;TAAL;3000;0,8433
DUMMYPCET_TAAL_3;TAAL;3000;0,281
DUMMYPCET_TAAL_30;TAAL;3000;0,2677
DUMMYPCET_TAAL_4;TAAL;3000;0,945
DUMMYPCET_TAAL_5;TAAL;3000;0,3747
DUMMYPCET_TAAL_6;TAAL;3000;0,97
DUMMYPCET_TAAL_7;TAAL;3000;0,647
DUMMYPCET_TAAL_8;TAAL;3000;0,471
DUMMYPCET_TAAL_9;TAAL;3000;0,2357
Ank23d_C_GT_1F_02;REKENEN;3000;0,7213
Ank23d_C_GT_1F_03;REKENEN;3000;0,79
Ank23d_C_VB_1F_12;REKENEN;3000;0,779
Ank23d_K_GT_1S_04;REKENEN;3000;0,7223
Ank23d_K_VH_1S_06;REKENEN;3000;0,805
Ank23dp_C_MM_1F_09;REKENEN;3000;0,6023
Ank23dp_C_MM_1S_10;REKENEN;3000;0,4827
Ank23dp_C_VB_1S_11;REKENEN;3000;0,875
Ank23p_C_GT_1F_14;REKENEN;3000;0,483
Ank23p_C_GT_1S_15;REKENEN;3000;0,7837
Ank23p_C_VB_1F_18;REKENEN;3000;0,8873
Ank23p_C_VH_1S_17;REKENEN;3000;0,5977
Ank23p_K_GT_1F_13;REKENEN;3000;0,9143
Ank23p_K_VH_1F_16;REKENEN;3000;0,7667
Ank23pd_C_VH_1F_07;REKENEN;3000;0,9133
Ank23pd_K_GT_1S_01;REKENEN;3000;0,8253
Ank23pd_K_VH_1S_05;REKENEN;3000;0,7413
Ank24dp_K_GT_1S_01;REKENEN;3000;0,6453
Ank24dp_K_VB_1S_02;REKENEN;3000;0,7177
DUMMYPCET_REKENEN_1;REKENEN;3000;0,5777
DUMMYPCET_REKENEN_10;REKENEN;3000;0,376
DUMMYPCET_REKENEN_11;REKENEN;3000;0,5287
DUMMYPCET_REKENEN_12;REKENEN;3000;0,894
DUMMYPCET_REKENEN_13;REKENEN;3000;0,586
DUMMYPCET_REKENEN_14;REKENEN;3000;0,352
DUMMYPCET_REKENEN_15;REKENEN;3000;0,7813
DUMMYPCET_REKENEN_16;REKENEN;3000;0,0503
DUMMYPCET_REKENEN_17;REKENEN;3000;0,9217
DUMMYPCET_REKENEN_18;REKENEN;3000;0,6177
DUMMYPCET_REKENEN_19;REKENEN;3000;0,4373
DUMMYPCET_REKENEN_2;REKENEN;3000;0,5113
DUMMYPCET_REKENEN_20;REKENEN;3000;0,5613
DUMMYPCET_REKENEN_21;REKENEN;3000;0,3953
DUMMYPCET_REKENEN_22;REKENEN;3000;0,503
DUMMYPCET_REKENEN_23;REKENEN;3000;0,312
DUMMYPCET_REKENEN_24;REKENEN;3000;0,7253
DUMMYPCET_REKENEN_25;REKENEN;3000;0,683
DUMMYPCET_REKENEN_26;REKENEN;3000;0,1443
DUMMYPCET_REKENEN_27;REKENEN;3000;0,303
DUMMYPCET_REKENEN_28;REKENEN;3000;0,1977
DUMMYPCET_REKENEN_29;REKENEN;3000;0,6743
DUMMYPCET_REKENEN_3;REKENEN;3000;0,704
DUMMYPCET_REKENEN_30;REKENEN;3000;0,9723
DUMMYPCET_REKENEN_31;REKENEN;3000;0,502
DUMMYPCET_REKENEN_4;REKENEN;3000;0,2813
DUMMYPCET_REKENEN_5;REKENEN;3000;0,1503
DUMMYPCET_REKENEN_6;REKENEN;3000;0,6873
DUMMYPCET_REKENEN_7;REKENEN;3000;0,494
DUMMYPCET_REKENEN_8;REKENEN;3000;0,0957
DUMMYPCET_REKENEN_9;REKENEN;3000;0,079
