item_id;onderdeel;n;p_waarde
Ank23p_IP_1F_02;TAAL;3000;0,9803
Ank23p_SN_2F_8;TAAL;3000;0,897
Ank23p_SN_2F_9;TAAL;3000;0,7097
Ank23p_SW_1F_05;TAAL;3000;0,6857
Ank23p_SW_1F_06;TAAL;3000;0,86
Ank23p_SW_2F_07;TAAL;3000;0,6273
Ank23pd_IP_1F_01;TAAL;3000;0,797
Ank23pd_IP_1F_03;TAAL;3000;0,7573
Ank23pd_IP_2F_04;TAAL;3000;0,5147
Ank24dp_SN_2F_01;TAAL;3000;0,594
Ank24dp_SN_2F_02;TAAL;3000;0,6687
DUMMY2_TAAL_1;TAAL;3000;0,733
DUMMY2_TAAL_10;TAAL;3000;0,841
DUMMY2_TAAL_11;TAAL;3000;0,5177
DUMMY2_TAAL_12;TAAL;3000;0,2
DUMMY2_TAAL_13;TAAL;3000;0,1967
DUMMY2_TAAL_14;TAAL;3000;0,1057
DUMMY2_TAAL_15;TAAL;3000;0,39
DUMMY2_TAAL_16;TAAL;3000;0,6343
DUMMY2_TAAL_17;TAAL;3000;0,623
DUMMY2_TAAL_18;TAAL;3000;0,251
DUMMY2_TAAL_19;TAAL;3000;0,4743
DUMMY2_TAAL_2;TAAL;3000;0,6763
DUMMY2_TAAL_20;TAAL;3000;0,1097
DUMMY2_TAAL_21;TAAL;3000;0,9507
DUMMY2_TAAL_22;TAAL;3000;0,8617
DUMMY2_TAAL_23;TAAL;3000;0,393
DUMMY2_TAAL_24;TAAL;3000;0,5287
DUMMY2_TAAL_25;TAAL;3000;0,6647
DUMMY2_TAAL_26;TAAL;3000;0,23
DUMMY2_TAAL_27;TAAL;3000;0,569
DUMMY2_TAAL_28;TAAL;3000;0,4497
DUMMY2_TAAL_29;TAAL;3000;0,8433
DUMMY2_TAAL_3;TAAL;3000;0,281
DUMMY2_TAAL_30;TAAL;3000;0,2677
DUMMY2_TAAL_4;TAAL;3000;0,945
DUMMY2_TAAL_5;TAAL;3000;0,3747
DUMMY2_TAAL_6;TAAL;3000;0,97
DUMMY2_TAAL_7;TAAL;3000;0,647
DUMMY2_TAAL_8;TAAL;3000;0,471
DUMMY2_TAAL_9;TAAL;3000;0,2357
Ank23d_C_GT_1F_02;REKENEN;3000;0,7213
Ank23d_C_GT_1F_03;REKENEN;3000;0,79
Ank23d_C_VB_1F_12;REKENEN;3000;0,779
Ank23d_K_GT_1S_04;REKENEN;3000;0,7223
Ank23d_K_VH_1S_06;REKENEN;3000;0,805
Ank23dp_C_MM_1F_09;REKENEN;3000;0,6023
Ank23dp_C_MM_1S_10;REKENEN;3000;0,4827
Ank23dp_C_VB_1S_11;REKENEN;3000;0,875
Ank23p_C_GT_1F_14;REKENEN;3000;0,483
Ank23p_C_GT_1S_15;REKENEN;3000;0,7837
Ank23p_C_VB_1F_18;REKENEN;3000;0,8873
Ank23p_C_VH_1S_17;REKENEN;3000;0,5977
Ank23p_K_GT_1F_13;REKENEN;3000;0,9143
Ank23p_K_VH_1F_16;REKENEN;3000;0,7667
Ank23pd_C_VH_1F_07;REKENEN;3000;0,9133
Ank23pd_K_GT_1S_01;REKENEN;3000;0,8253
Ank23pd_K_VH_1S_05;REKENEN;3000;0,7413
Ank24dp_K_GT_1S_01;REKENEN;3000;0,6453
Ank24dp_K_VB_1S_02;REKENEN;3000;0,7177
DUMMY2_REKENEN_1;REKENEN;3000;0,5777
DUMMY2_REKENEN_10;REKENEN;3000;0,376
DUMMY2_REKENEN_11;REKENEN;3000;0,5287
DUMMY2_REKENEN_12;REKENEN;3000;0,894
DUMMY2_REKENEN_13;REKENEN;3000;0,586
DUMMY2_REKENEN_14;REKENEN;3000;0,352
DUMMY2_REKENEN_15;REKENEN;3000;0,7813
DUMMY2_REKENEN_16;REKENEN;3000;0,0503
DUMMY2_REKENEN_17;REKENEN;3000;0,9217
DUMMY2_REKENEN_18;REKENEN;3000;0,6177
DUMMY2_REKENEN_19;REKENEN;3000;0,4373
DUMMY2_REKENEN_2;REKENEN;3000;0,5113
DUMMY2_REKENEN_20;REKENEN;3000;0,5613
DUMMY2_REKENEN_21;REKENEN;3000;0,3953
DUMMY2_REKENEN_22;REKENEN;3000;0,503
DUMMY2_REKENEN_23;REKENEN;3000;0,312
DUMMY2_REKENEN_24;REKENEN;3000;0,7253
DUMMY2_REKENEN_25;REKENEN;3000;0,683
DUMMY2_REKENEN_26;REKENEN;3000;0,1443
DUMMY2_REKENEN_27;REKENEN;3000;0,303
DUMMY2_REKENEN_28;REKENEN;3000;0,1977
DUMMY2_REKENEN_29;REKENEN;3000;0,6743
DUMMY2_REKENEN_3;REKENEN;3000;0,704
DUMMY2_REKENEN_30;REKENEN;3000;0,9723
DUMMY2_REKENEN_31;REKENEN;3000;0,502
DUMMY2_REKENEN_4;REKENEN;3000;0,2813
DUMMY2_REKENEN_5;REKENEN;3000;0,1503
DUMMY2_REKENEN_6;REKENEN;3000;0,6873
DUMMY2_REKENEN_7;REKENEN;3000;0,494
DUMMY2_REKENEN_8;REKENEN;3000;0,0957
DUMMY2_REKENEN_9;REKENEN;3000;0,079
